Sample	Run	Lab	Type	Date	North	West
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0001-IG-AOI-ST-5-R1-Vert_S9_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-21	-92.18070841	49.54446538
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0002-IG-AOI-ST-5-R2-Vert_S21_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-21	-92.18070841	49.54446538
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0003-IG-AOI-ST-5-R3-Vert_S33_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-21	-92.18070841	49.54446538
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0004-IG-AOI-ST-5-DUP-Vert_S45_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-21	-92.18070841	49.54446538
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0005-IG-XAOI-ST-18-R1-Vert_S57_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-21	-92.16064238	49.53951352
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0006-IG-XAOI-ST-18-R2-Vert_S69_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-21	-92.16064238	49.53951352
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0007-IG-XAOI-ST-18-R3-Vert_S80_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-21	-92.16064238	49.53951352
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0008-IG-XAOI-ST-18-NEG-Vert_S91_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Field NEG	2021-07-21	-92.16064238	49.53951352
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0013-IG-AOI-ST-8-R1-Vert_S58_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.1869337	49.54703649
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0014-IG-AOI-ST-8-R2-Vert_S70_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.1869337	49.54703649
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0015-IG-AOI-ST-8-R3-Vert_S81_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.1869337	49.54703649
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0017-IG-AOI-ST-8-NEG-Vert_S11_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Field NEG	2021-07-22	-92.1869337	49.54703649
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0018-IG-AOI-ST-7-R1-Vert_S23_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.18339953	49.5447715
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0019-IG-AOI-ST-7-R2-Vert_S35_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.18339953	49.5447715
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0020-IG-AOI-ST-7-R3-Vert_S47_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.18339953	49.5447715
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0021-IG-XAOI-ST-1-R1-Vert_S59_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.3199264	49.55549686
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0022-IG-XAOI-ST-1-R2-Vert_S71_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.3199264	49.55549686
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0023-IG-XAOI-ST-1-R3-Vert_S82_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-22	-92.3199264	49.55549686
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0024-IG-XAOI-ST-1-NEG-Vert_S93_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Field NEG	2021-07-22	-92.3199264	49.55549686
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0025-IG-XAOI-LK-1-R1-Vert_S12_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-23	-92.21677367	49.56332678
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0026-IG-XAOI-LK-1-R2-Vert_S24_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-23	-92.21677367	49.56332678
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0027-IG-XAOI-LK-1-R3-Vert_S36_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-23	-92.21677367	49.56332678
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0028-IG-XAOI-LK-1-NEG-Vert_S48_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Field NEG	2021-07-23	-92.21677367	49.56332678
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0029-IG-XAOI-WS-38-R1-Vert_S60_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-24	-92.1990366	49.52996307
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0030-IG-XAOI-WS-38-R2-Vert_S72_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-24	-92.1990366	49.52996307
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0031-IG-XAOI-WS-38-R3-Vert_S83_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-24	-92.1990366	49.52996307
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0032-IG-XAOI-WS-38-NEG-Vert_S94_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Field NEG	2021-07-24	-92.1990366	49.52996307
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0033-IG-XAOI-WS-5-R1-Vert_S95_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-25	-92.16171884	49.54047704
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0034-IG-XAOI-WS-5-R2-Vert_S107_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-25	-92.16171884	49.54047704
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0035-IG-XAOI-WS-5-R3-Vert_S119_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-25	-92.16171884	49.54047704
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0036-IG-XAOI-WP-4-R1-Vert_S131_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-26	-92.17038872	49.52666825
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0037-IG-XAOI-WP-4-R2-Vert_S143_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-26	-92.17038872	49.52666825
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0038-IG-XAOI-WP-4-R3-Vert_S155_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-26	-92.17038872	49.52666825
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0039-IG-XAOI-WP-4-DUP-Vert_S167_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-26	-92.17038872	49.52666825
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0040-IG-AOI-ST-13-R1-Vert_S177_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-27	-92.22805442	49.53253546
2023_03_17_2216_21-085597-NMWO-run1-303295010_Merge_SEP_21-085597-0041-IG-AOI-ST-13-R2-Vert_S96_L001	21-085597-NMWO-run1-303295010	Guelph - AFL	Sample	2021-07-27	-92.22805442	49.53253546
